ID,ESTATUS,OPTIMIZADA
47552344989,,
47574230668,in_container,D1_AM3
47572012521,,
47571687275,,
47563078581,sorting,
47572143623,in_container,G5_AM3
47571457919,in_container,C9_AM3
47563648330,in_container,H3_AM3
47568449940,,
47571562550,in_container,A6_AM3
47570365705,,F3_AM3
47571413935,in_container,H1_AM3
47559928615,in_container,D1_AM3
47561847136,in_container,F5_AM3
47564643585,,
47571589232,in_container,F1_AM3
47576667826,in_container,D7_AM3
47571598180,in_container,A8_AM3
47575101441,in_container,H1_AM3
47576948838,in_container,F4_AM3
47578769187,in_container,D1_AM3
47575225132,,D3_AM3
47571364691,in_container,B5_AM3
47571558234,in_container,C2_AM3
47577374860,in_container,D2_AM3
47576377895,,
47575627882,in_container,C5_AM3
47536070726,in_container,
47571762040,in_container,D5_AM3
47575142225,in_container,
47572005856,sorting,H6_AM3
47575495488,,G8_AM3
47571868556,sorting,
47556622307,,
47577576893,in_container,A4_AM3
47565487084,sorting,
47575771395,in_container,B9_AM3
47570731233,in_container,H7_AM3
47576793346,,
47570317234,in_container,G5_AM3
47563412980,in_container,F2_AM3
47571133901,in_container,G4_AM3
47577003270,in_container,A3_AM3
47577055739,in_container,D2_AM3
47578573118,in_container,B2_AM3
47570089736,sorting,
47580689906,in_container,B7_AM3
47572134620,sorting,
47568885078,sorting,
47576864562,,
47570039895,,
47570581757,in_container,G5_AM3
47565982248,,
47569287995,in_container,D7_AM3
47578317392,in_container,D6_AM3
47575018871,in_container,B6_AM3
47571893534,in_container,F2_AM3
47563748688,,
47573917198,in_container,A6_AM3
47571491875,in_container,F5_AM3
47580005780,in_container,F5_AM3
47570687577,sorting,G8_AM3
47568493216,,B8_AM3
47577484648,in_container,C2_AM3
47575173582,in_container,A3_AM3
47577029896,sorting,
47572039341,in_container,H5_AM3
47572002161,in_container,A2_AM3
47577025522,in_container,C5_AM3
47562453848,,
47541455641,,
47569160228,in_container,B4_AM3
47567679378,sorting,
47570540033,in_container,H2_AM3
47576484543,in_container,F3_AM3
47563780664,in_container,D1_AM3
47571674569,in_container,
47576114228,in_container,D8_AM3
47571397349,in_container,F6_AM3
47567344577,in_container,B6_AM3
47565464497,in_container,D4_AM3
47551835813,,
47576521152,in_container,C3_AM3
47574374985,sorting,A4_AM3
47550615919,,
47575785633,sorting,
47574899267,sorting,
47568896778,in_container,F6_AM3
47569427797,in_container,C2_AM3
47567810559,in_container,B9_AM3
47575897602,in_container,B6_AM3
47568352887,in_container,D2_AM3
47575083283,in_container,H4_AM3
47550642951,,G4_AM3
47576903637,in_container,G5_AM3
47569141837,sorting,
47571151809,,
47577373340,in_container,H1_AM3
47566304576,,
47563226303,,
47572191067,sorting,A5_AM3
47569738596,sorting,B4_AM3
47561900074,,
47562675640,,
47569445879,,
47576901838,in_container,B3_AM3
47578465077,in_container,D5_AM3
47574020084,sorting,
47562533683,in_container,A9_AM3
47563493447,in_container,
47571769404,in_container,B8_AM3
47571824170,,C1_AM3
47569834056,in_container,C4_AM3
47576270486,in_container,A3_AM3
47575544419,sorting,
47571393523,in_container,D1_AM3
47576439401,in_container,D2_AM3
47570972407,in_container,D7_AM3
47569978402,,
47574954726,in_container,
47571251378,sorting,
47575374037,in_container,D3_AM3
47577375050,in_container,B2_AM3
47576247555,in_container,H8_AM3
47569951275,,
47563238557,in_container,D1_AM3
47563826546,,A8_AM3
47561862102,in_container,A5_AM3
47576964591,in_container,G8_AM3
47572267120,sorting,G4_AM3
47578197590,in_container,G2_AM3
47571929777,sorting,
47568825897,in_container,A9_AM3
47563030530,in_container,H4_AM3
47569846360,in_container,C2_AM3
47575955093,in_container,A10_AM3
47571934987,in_container,F5_AM3
47557204404,,
47575980395,sorting,B7_AM1
47575980395,sorting,G3_AM3
47575630896,in_container,B2_AM3
47563789948,in_container,A4_AM3
47570402973,,
47563653878,in_container,A8_AM3
47572898798,in_container,A5_AM3
47575596471,in_container,B6_AM3
47560180956,in_container,D1_AM3
47576801524,in_container,B4_AM3
47572224822,sorting,H5_AM3
47569592184,sorting,
47522599843,in_container,H7_AM3
47565943052,in_container,H3_AM3
47574723154,in_container,F4_AM3
47578750770,in_container,C9_AM3
47572118562,in_container,C3_AM3
47552402467,,
47571020948,in_container,F3_AM3
47571803141,,
47576404470,in_container,G8_AM3
47567434944,in_container,B9_AM3
47562501774,in_container,C7_AM3
47570271951,sorting,
47573952713,in_container,B5_AM3
47576691791,in_container,C5_AM3
47563286357,,
47577335909,in_container,G8_AM3
47571969474,sorting,D6_AM3
47558132002,sorting,
47575839473,in_container,
47568441008,sorting,
47569166897,,
47571823936,in_container,G10_AM3
47577894509,in_container,F4_AM3
47578846734,in_container,B1_AM3
47577531323,in_container,C4_AM3
47570066246,in_container,C1_AM3
47577630094,in_container,A6_AM3
47556494064,,H4_AM3
47563234453,,F3_AM3
47568940465,sorting,F4_AM3
47567064084,in_container,G3_AM3
47564185175,sorting,
47561571338,,
47571304812,sorting,
47575456076,in_container,F1_AM3
47560905213,in_container,C4_AM3
47572181080,sorting,
47568104125,in_container,B6_AM3
47577270602,in_container,A5_AM3
47576734204,sorting,
47571989764,in_container,H1_AM3
47577018400,in_container,
47564062013,,B3_AM3
47577209535,in_container,A8_AM3
47566848641,in_container,B9_AM3
47551671147,,
47563764010,,
47571170862,sorting,
47570533455,in_container,G7_AM3
47561930788,in_container,D1_AM3
47568145363,sorting,C2_AM3
47560841854,in_container,B5_AM3
47580247094,sorting,
47570099748,,
47560809114,in_container,A9_AM3
47575721373,in_container,G7_AM3
47575368702,in_container,A6_AM3
47574044985,in_container,A1_AM3
47571780198,in_container,F4_AM3
47577078460,in_container,
47572168810,in_container,C5_AM3
47576624383,,
47576516943,sorting,H8_AM3
47576856249,in_container,C1_AM3
47567586293,in_container,B9_AM3
47569703303,in_container,C7_AM3
47578106024,in_container,H1_AM3
47575854347,in_container,C4_AM3
47574948634,in_container,C1_AM3
47578545687,in_container,G7_AM3
47566863320,in_container,G3_AM3
47569905178,sorting,
47574759748,sorting,
47570553318,in_container,A8_AM3
47570214558,in_container,F1_AM3
47565234810,,A8_AM3
47551717215,in_container,
47570280841,in_container,G7_AM3
47567724038,in_container,C2_AM3
47551385167,,G2_AM3
47575986126,in_container,A2_AM3
47551372700,,
47570992149,,
47566370831,in_container,B3_AM3
47565993810,,
47563591579,in_container,A7_AM3
47571295808,sorting,
47576555588,in_container,D4_AM3
47570787357,,
47571023712,in_container,F6_AM3
47577193706,in_container,A10_AM3
47569326263,in_container,A5_AM3
47560030033,in_container,G6_AM3
47576175895,in_container,G6_AM3
47558024977,in_container,A2_AM3
47556372963,,B3_AM3
47575792846,sorting,
47563297601,sorting,
47578004186,in_container,B3_AM3
47570762407,sorting,A10_AM3
47577581352,in_container,G9_AM3
47570333330,in_container,B4_AM3
47568268551,in_container,C9_AM3
